!CSV A.01.01
!Agilent Technologies,N5230C,MY49001835,A.09.33.09
!Agilent N5230C: A.09.33.09
!Date: Wednesday, March 19, 2014 01:10:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S41(DB),S41(DEG)
212699233.07769,8.1732521,-147.58275
217033911.30377,14.219713,-148.01717
221368589.52984,10.735791,-143.8318
225703267.75592,12.35131,-155.01436
230037945.98199,10.541993,-148.9016
234372624.20807,10.395173,-148.21661
238707302.43414,10.135869,-141.80801
243041980.66022,11.079131,-143.19577
247376658.8863,9.5582638,-130.75943
251711337.11237,10.33875,-131.61429
256046015.33845,9.9342136,-127.83884
260380693.56452,11.219921,-134.42088
264715371.7906,8.8813171,-141.89409
269050050.01667,11.465616,-140.27295
273384728.24275,10.529481,-137.82536
277719406.46882,10.345674,-150.81847
282054084.6949,12.790127,-118.91039
286388762.92097,9.755785,-144.89923
290723441.14705,7.1836166,-150.95255
295058119.37312,9.3352709,-151.40477
299392797.5992,10.465542,-150.34224
303727475.82528,12.714273,-139.45383
308062154.05135,9.3677082,-150.93527
312396832.27743,10.512325,-158.63794
316731510.5035,8.3081331,-165.59021
321066188.72958,9.929451,-154.20815
325400866.95565,9.0895643,-165.38275
329735545.18173,8.5530272,-142.66687
334070223.4078,9.7758341,-156.71013
338404901.63388,9.1910429,-150.61945
342739579.85995,11.555923,-139.37247
347074258.08603,8.5180426,-155.54497
351408936.3121,9.413065,-171.45306
355743614.53818,9.0194712,-163.72821
360078292.76425,10.389862,-155.04797
364412970.99033,9.5698977,-168.61905
368747649.21641,12.279001,-179.70667
373082327.44248,10.415749,-160.46054
377417005.66856,8.3339529,-160.92152
381751683.89463,9.0475912,-174.37416
386086362.12071,10.021426,-164.38985
390421040.34678,7.3021035,-155.43295
394755718.57286,10.095578,-174.68527
399090396.79893,9.7791662,-164.44481
403425075.02501,9.7067604,-161.75134
407759753.25108,10.504963,-168.7823
412094431.47716,9.5690155,-178.95938
416429109.70323,6.8563476,-172.6002
420763787.92931,10.868987,-178.17703
425098466.15539,10.407261,168.44337
429433144.38146,8.3289165,176.55046
433767822.60754,11.10237,171.56
438102500.83361,10.165178,-179.2133
442437179.05969,11.746449,176.74562
446771857.28576,9.0116062,164.12152
451106535.51184,8.3878927,172.00261
455441213.73791,9.696497,175.71515
459775891.96399,9.0619717,164.83026
464110570.19006,10.243913,163.50851
468445248.41614,11.140866,172.38042
472779926.64221,9.63692,167.61159
477114604.86829,9.8578434,163.74905
481449283.09436,8.8564835,169.52483
485783961.32044,10.148849,160.06293
490118639.54652,8.3194571,157.9426
494453317.77259,9.8931694,158.397
498787995.99867,9.8736496,143.15009
503122674.22474,8.7555704,153.37643
507457352.45082,9.5307035,151.21385
511792030.67689,11.285965,154.76614
516126708.90297,10.414084,149.2934
520461387.12904,8.9719296,147.82935
524796065.35512,10.114304,149.24916
529130743.58119,9.0498276,152.80658
533465421.80727,8.6701107,145.29546
537800100.03334,9.0498667,139.52605
542134778.25942,9.3252783,147.79709
546469456.4855,9.5586491,149.09363
550804134.71157,9.6544971,146.72491
555138812.93765,8.9109888,151.60796
559473491.16372,9.5448847,143.09186
563808169.3898,9.9307318,138.36736
568142847.61587,9.1921177,129.72012
572477525.84195,8.9509783,127.94256
576812204.06802,8.0431881,133.94131
581146882.2941,8.4664564,130.61978
585481560.52017,7.9718413,129.21042
589816238.74625,8.1694527,129.26979
594150916.97232,8.8607063,124.25188
598485595.1984,9.6217451,132.47211
602820273.42447,9.808773,132.06949
607154951.65055,8.3206568,121.88528
611489629.87663,8.3385439,125.6891
615824308.1027,8.4422626,122.83163
620158986.32878,9.0956831,121.12238
624493664.55485,9.0903769,113.31697
628828342.78093,9.8262644,109.65479
633163021.007,8.6672411,110.13486
637497699.23308,9.1265116,105.65687
641832377.45915,8.5525713,102.50179
646167055.68523,7.7274961,105.71187
650501733.9113,8.1149073,100.93812
654836412.13738,7.3548908,102.39314
659171090.36345,7.9895792,103.64443
663505768.58953,7.6601868,102.19952
667840446.81561,9.8067093,105.31582
672175125.04168,8.4721155,102.86696
676509803.26776,8.5912933,96.154976
680844481.49383,9.1542234,95.114883
685179159.71991,8.5212736,93.589066
689513837.94598,8.3845778,90.127586
693848516.17206,8.798172,92.74366
698183194.39813,8.3561201,84.178375
702517872.62421,8.8431644,83.748352
706852550.85028,7.9024987,88.46183
711187229.07636,8.0193739,81.301414
715521907.30243,7.8706594,81.993759
719856585.52851,8.2858114,81.76725
724191263.75458,7.7566476,81.784286
728525941.98066,7.5493259,78.65686
732860620.20674,7.8265281,78.922951
737195298.43281,8.5421295,80.732292
741529976.65889,7.7398653,73.876915
745864654.88496,8.4422665,70.888435
750199333.11104,7.9689951,71.005409
754534011.33711,9.0910625,68.83934
758868689.56319,7.9255452,72.38205
763203367.78926,8.430522,66.508461
767538046.01534,8.5415783,65.924049
771872724.24141,8.0633144,67.403397
776207402.46749,7.6646624,61.948559
780542080.69356,7.7002373,63.206905
784876758.91964,8.0284958,59.035633
789211437.14572,7.672431,64.990181
793546115.37179,7.9261193,56.445313
797880793.59787,8.044404,61.206501
802215471.82394,7.739265,57.454296
806550150.05002,8.3425913,59.902466
810884828.27609,7.0811667,59.060276
815219506.50217,8.0840044,53.2612
819554184.72824,8.1367979,53.504726
823888862.95432,9.0207548,48.281078
828223541.18039,8.1968517,44.318707
832558219.40647,8.4099398,49.67878
836892897.63254,7.9248528,41.96846
841227575.85862,8.3190641,43.142635
845562254.08469,8.1071939,43.379181
849896932.31077,7.5032716,36.342392
854231610.53685,7.4619021,39.053204
858566288.76292,7.6410685,36.740608
862900966.989,7.2393684,33.274815
867235645.21507,7.9959898,34.467316
871570323.44115,7.9707913,32.55278
875905001.66722,7.4058061,27.958931
880239679.8933,8.2601318,31.005432
884574358.11937,8.1978846,31.849094
888909036.34545,8.5707359,23.803432
893243714.57152,7.9622269,21.34417
897578392.7976,8.0756683,23.903095
901913071.02367,7.9178314,21.582403
906247749.24975,7.4355955,16.503378
910582427.47583,8.3660755,18.985918
914917105.7019,7.0397339,19.194571
919251783.92798,7.5364313,19.680696
923586462.15405,7.1165214,15.371621
927921140.38013,7.8718672,15.745682
932255818.6062,7.5952497,14.373757
936590496.83228,6.9665713,16.122271
940925175.05835,7.7916517,14.753653
945259853.28443,7.8672051,11.919508
949594531.5105,8.1550503,6.05897
953929209.73658,7.7736306,11.343256
958263887.96265,7.9596095,3.5603361
962598566.18873,7.9808078,2.4411368
966933244.4148,7.9345393,0.15406762
971267922.64088,8.0977163,-2.1816137
975602600.86696,7.4583135,-1.1110387
979937279.09303,7.0915232,-5.2998862
984271957.31911,7.3871536,-2.0006659
988606635.54518,6.7085004,-1.9271464
992941313.77126,6.5747018,-4.966825
997275991.99733,7.213995,-2.8015721
1001610670.2234,7.150794,-2.4891515
1005945348.4495,7.9141035,-7.112009
1010280026.6756,8.1081038,-6.6843662
1014614704.9016,8.3152666,-9.0990505
1018949383.1277,8.7003727,-11.187716
1023284061.3538,8.1382513,-11.452351
1027618739.5799,8.5793133,-14.585249
1031953417.8059,8.0795765,-18.125233
1036288096.032,8.283576,-20.86388
1040622774.2581,7.7624173,-20.834595
1044957452.4842,7.1014547,-19.271561
1049292130.7102,7.5786963,-23.527716
1053626808.9363,7.2713718,-23.271936
1057961487.1624,7.8349586,-22.781639
1062296165.3885,7.4659214,-24.517916
1066630843.6145,8.0694857,-25.105612
1070965521.8406,7.944572,-26.342188
1075300200.0667,8.0298615,-30.021339
1079634878.2928,7.6632929,-28.636715
1083969556.5188,8.0024757,-29.855566
1088304234.7449,8.2920446,-33.104633
1092638912.971,7.9168096,-34.111717
1096973591.1971,8.226306,-34.963928
1101308269.4231,7.7272234,-38.891171
1105642947.6492,8.3477745,-41.182613
1109977625.8753,7.622036,-43.216751
1114312304.1014,7.7202921,-42.940224
1118646982.3274,7.9563427,-42.620327
1122981660.5535,8.1406174,-47.642273
1127316338.7796,7.8961515,-43.924431
1131651017.0057,7.7841425,-47.754063
1135985695.2317,7.8209276,-47.801311
1140320373.4578,8.2286701,-52.175041
1144655051.6839,8.676899,-55.502869
1148989729.91,7.9833674,-49.851131
1153324408.136,8.0845566,-48.811512
1157659086.3621,7.8879976,-56.358509
1161993764.5882,8.3409271,-56.559696
1166328442.8143,7.4674001,-59.52383
1170663121.0403,8.1345539,-58.353851
1174997799.2664,8.6033459,-64.546234
1179332477.4925,7.8623772,-63.838192
1183667155.7186,7.9213777,-63.819527
1188001833.9446,8.3782492,-63.61721
1192336512.1707,7.5540309,-69.71991
1196671190.3968,7.3907132,-70.303421
1201005868.6229,7.812912,-66.838478
1205340546.8489,8.1745701,-71.778595
1209675225.075,7.6441116,-72.446373
1214009903.3011,8.4087839,-77.694611
1218344581.5272,8.6852465,-74.152283
1222679259.7533,7.8816233,-78.223824
1227013937.9793,8.3159637,-77.842796
1231348616.2054,7.8658442,-82.116562
1235683294.4315,8.2666378,-83.997406
1240017972.6576,8.2252874,-82.681931
1244352650.8836,8.3489809,-87.287704
1248687329.1097,8.1557159,-86.843521
1253022007.3358,7.6208119,-88.448067
1257356685.5619,7.3003025,-90.995186
1261691363.7879,8.2032976,-88.610237
1266026042.014,8.3492498,-93.336998
1270360720.2401,8.2438278,-97.97551
1274695398.4662,7.480587,-95.061226
1279030076.6922,8.4869747,-98.068817
1283364754.9183,8.1904469,-100.6346
1287699433.1444,8.3001909,-97.958649
1292034111.3705,8.0789814,-101.72233
1296368789.5965,7.8774061,-106.11012
1300703467.8226,8.4888697,-106.01971
1305038146.0487,8.3771601,-109.93705
1309372824.2748,7.730505,-106.07189
1313707502.5008,7.7376485,-108.16452
1318042180.7269,8.4137163,-108.52652
1322376858.953,7.8307533,-112.72104
1326711537.1791,7.8730564,-115.98626
1331046215.4051,8.524435,-118.49806
1335380893.6312,8.2188635,-115.44763
1339715571.8573,8.3288479,-113.02625
1344050250.0834,8.0885134,-122.36423
1348384928.3094,8.0205345,-120.50957
1352719606.5355,8.2886429,-123.72334
1357054284.7616,7.7655892,-120.9447
1361388962.9877,8.0030165,-124.31355
1365723641.2137,8.7324076,-128.23112
1370058319.4398,8.0208302,-126.18388
1374392997.6659,7.7383223,-133.05161
1378727675.892,8.1339226,-133.05591
1383062354.118,8.5630379,-132.91115
1387397032.3441,8.0062962,-131.30768
1391731710.5702,7.8488436,-132.63103
1396066388.7963,7.7435555,-141.22061
1400401067.0223,7.9455628,-137.0031
1404735745.2484,7.8025956,-138.08618
1409070423.4745,8.106904,-142.70576
1413405101.7006,7.7141967,-140.27087
1417739779.9266,8.2717581,-137.31775
1422074458.1527,8.7089558,-144.96848
1426409136.3788,8.1397238,-151.38773
1430743814.6049,8.1712265,-152.18739
1435078492.8309,7.9787045,-153.60774
1439413171.057,8.3266211,-152.33192
1443747849.2831,8.1088228,-153.26407
1448082527.5092,8.2482195,-157.87659
1452417205.7352,7.9622531,-157.81801
1456751883.9613,7.9559779,-161.38794
1461086562.1874,7.6027517,-160.19135
1465421240.4135,7.6943293,-160.4192
1469755918.6395,7.7280221,-166.2106
1474090596.8656,8.3279171,-162.18106
1478425275.0917,7.9340429,-167.2601
1482759953.3178,8.3461695,-171.46922
1487094631.5438,8.1938496,-169.68289
1491429309.7699,8.0926952,-172.73779
1495763987.996,7.9703708,-175.48262
1500098666.2221,8.5414057,-178.73941
1504433344.4481,8.5527887,177.94125
1508768022.6742,8.0824203,174.54132
1513102700.9003,7.7770047,179.02194
1517437379.1264,7.9866157,177.56812
1521772057.3525,8.1702881,173.45386
1526106735.5785,8.0770884,175.42006
1530441413.8046,7.8831987,173.50858
1534776092.0307,8.1324644,169.14474
1539110770.2568,8.2741451,169.78206
1543445448.4828,8.0759916,168.46146
1547780126.7089,8.2859221,169.12714
1552114804.935,8.6929932,167.7243
1556449483.1611,8.4562559,165.85612
1560784161.3871,8.4524488,163.16444
1565118839.6132,8.1584444,158.94356
1569453517.8393,8.5013027,157.50099
1573788196.0654,8.3555975,155.22601
1578122874.2914,7.9213414,156.41429
1582457552.5175,8.8044214,154.25783
1586792230.7436,7.9784117,153.50325
1591126908.9697,7.9455352,148.41846
1595461587.1957,7.9564629,148.3636
1599796265.4218,7.6462202,149.5545
1604130943.6479,7.644938,151.33003
1608465621.874,8.6235771,149.10898
1612800300.1,8.3798962,147.15012
1617134978.3261,8.4637671,145.37537
1621469656.5522,8.5496626,139.47885
1625804334.7783,8.418335,139.63792
1630139013.0043,8.3019629,136.7357
1634473691.2304,8.1279163,133.49272
1638808369.4565,8.5849276,133.67029
1643143047.6826,8.6583748,130.61882
1647477725.9086,8.0694504,130.86858
1651812404.1347,7.8360047,127.50536
1656147082.3608,7.8329844,130.13918
1660481760.5869,8.1427679,128.13153
1664816438.8129,7.9083414,124.69703
1669151117.039,8.5566044,124.79465
1673485795.2651,8.1762714,123.94424
1677820473.4912,8.5932322,123.39324
1682155151.7172,8.1365938,122.09734
1686489829.9433,8.2687979,116.0955
1690824508.1694,8.1549721,120.31855
1695159186.3955,8.593977,117.62549
1699493864.6215,8.1836319,113.09424
1703828542.8476,8.4889765,110.26925
1708163221.0737,8.4698849,109.84687
1712497899.2998,8.0582876,106.77065
1716832577.5258,7.5450754,105.88398
1721167255.7519,7.8820539,105.325
1725501933.978,8.0430717,107.35455
1729836612.2041,7.8802929,101.48138
1734171290.4301,7.9501886,102.65682
1738505968.6562,7.5885153,100.39273
1742840646.8823,7.8570857,100.48888
1747175325.1084,8.4780798,98.225105
1751510003.3344,8.4811192,99.542175
1755844681.5605,8.5703545,97.921577
1760179359.7866,8.5103416,92.684799
1764514038.0127,8.4269228,89.819923
1768848716.2387,8.5189781,89.204483
1773183394.4648,8.3454885,86.405296
1777518072.6909,8.4366341,85.136429
1781852750.917,7.8958564,84.628975
1786187429.143,8.3039646,84.239067
1790522107.3691,8.1375303,85.168259
1794856785.5952,8.165,81.344017
1799191463.8213,7.6610746,79.605995
1803526142.0473,8.1049204,80.16246
1807860820.2734,7.8542013,79.148613
1812195498.4995,8.2878647,77.497337
1816530176.7256,8.5917225,78.577194
1820864854.9517,8.6918354,76.105377
1825199533.1777,8.6666527,70.581436
1829534211.4038,8.7636137,71.867439
1833868889.6299,8.6478519,68.689072
1838203567.856,8.4112988,69.122307
1842538246.082,8.1158457,62.188389
1846872924.3081,8.6160803,62.251949
1851207602.5342,8.1558781,62.90062
1855542280.7603,8.327877,60.976089
1859876958.9863,8.2913942,58.36935
1864211637.2124,8.0920105,57.508362
1868546315.4385,8.3276873,58.132423
1872880993.6646,8.3050871,55.691502
1877215671.8906,8.6421318,54.381088
1881550350.1167,8.4355698,52.459385
1885885028.3428,8.2278023,52.757256
1890219706.5689,8.5257053,51.25061
1894554384.7949,8.7388973,48.879246
1898889063.021,8.7442751,46.984833
1903223741.2471,8.8814926,47.155659
1907558419.4732,8.847271,42.042587
1911893097.6992,8.8827229,43.229771
1916227775.9253,8.2267704,40.303886
1920562454.1514,7.8107023,39.395466
1924897132.3775,7.9144373,35.981918
1929231810.6035,7.7859588,37.435745
1933566488.8296,8.0202303,37.791451
1937901167.0557,8.0660467,38.714752
1942235845.2818,8.2265911,35.078129
1946570523.5078,8.6976891,33.424454
1950905201.7339,8.4599104,30.276993
1955239879.96,8.2369823,29.84749
1959574558.1861,8.4013453,24.556831
1963909236.4121,9.0250044,22.486158
1968243914.6382,8.3603888,24.608732
1972578592.8643,8.6142349,19.373783
1976913271.0904,8.3444214,19.8305
1981247949.3164,8.0066137,17.458725
1985582627.5425,8.2973833,18.264351
1989917305.7686,8.4827509,14.711987
1994251983.9947,7.9125829,14.766526
1998586662.2207,8.5713873,12.950207
2002921340.4468,8.2851801,13.797978
2007256018.6729,7.9416232,10.483616
2011590696.899,8.4584398,12.872735
2015925375.125,8.2069511,9.2231236
2020260053.3511,8.4836645,9.124732
2024594731.5772,8.5009298,8.976469
2028929409.8033,8.4884024,6.1551023
2033264088.0293,8.6441822,5.712584
2037598766.2554,8.4910812,3.8348098
2041933444.4815,8.7476082,1.8890824
2046268122.7076,7.9009161,-0.51661313
2050602800.9336,8.7773752,-1.4193985
2054937479.1597,8.6998291,-2.4487078
2059272157.3858,8.3219528,-4.0519919
2063606835.6119,8.5308733,-6.030539
2067941513.8379,8.4509325,-6.6701531
2072276192.064,8.2680321,-7.9501061
2076610870.2901,8.0956154,-11.169442
2080945548.5162,8.7963247,-11.513674
2085280226.7422,8.7462606,-12.119541
2089614904.9683,8.7374725,-16.179892
2093949583.1944,8.8669701,-17.85504
2098284261.4205,8.3868084,-20.411215
2102618939.6465,9.2655287,-21.545223
2106953617.8726,8.619216,-21.234465
2111288296.0987,8.5806875,-21.317024
2115622974.3248,9.1255531,-23.739662
2119957652.5509,8.5487337,-23.618008
2124292330.7769,7.9384508,-26.719988
2128627009.003,8.6616955,-29.013794
2132961687.2291,8.0645323,-30.213226
2137296365.4552,8.261816,-30.372608
2141631043.6812,8.7159185,-35.291599
2145965721.9073,8.9837046,-34.314846
2150300400.1334,8.4140797,-35.54562
2154635078.3595,8.8006258,-39.633244
2158969756.5855,8.7942762,-40.024666
2163304434.8116,8.7740049,-39.725849
2167639113.0377,8.9026327,-41.115234
2171973791.2638,9.1685228,-45.024632
2176308469.4898,9.2592363,-43.613762
2180643147.7159,8.3811665,-47.826656
2184977825.942,8.8667889,-50.436901
2189312504.1681,8.6960888,-51.398441
2193647182.3941,8.9260969,-51.376457
2197981860.6202,8.738637,-52.525875
2202316538.8463,9.0914536,-55.074959
2206651217.0724,9.0313139,-58.443954
2210985895.2984,8.675951,-57.585449
2215320573.5245,9.0516977,-60.616646
2219655251.7506,8.7963371,-63.133995
2223989929.9767,8.4648991,-62.819298
2228324608.2027,9.0538721,-63.644257
2232659286.4288,8.8314619,-65.501167
2236993964.6549,9.0551682,-67.86248
2241328642.881,8.9946671,-69.832794
2245663321.107,9.0384836,-68.527275
2249997999.3331,9.0530844,-71.329803
2254332677.5592,8.7041998,-75.103477
2258667355.7853,9.0860748,-76.761856
2263002034.0113,9.2015953,-78.665833
2267336712.2374,8.9746218,-78.026733
2271671390.4635,9.5546293,-77.734001
2276006068.6896,8.9818249,-83.581863
2280340746.9156,9.2038059,-80.393707
2284675425.1417,8.9423628,-85.904785
2289010103.3678,9.251523,-82.876068
2293344781.5939,9.0102339,-86.042336
2297679459.8199,9.6944361,-89.629723
2302014138.046,9.0252256,-90.353333
2306348816.2721,8.5908184,-92.897041
2310683494.4982,8.5625343,-92.855919
2315018172.7242,9.0109682,-93.308296
2319352850.9503,8.9027119,-97.988747
2323687529.1764,8.6228571,-99.205544
2328022207.4025,8.6047201,-99.544998
2332356885.6285,8.9533749,-99.634117
2336691563.8546,8.7110052,-99.259697
2341026242.0807,8.7363873,-102.35278
2345360920.3068,9.0198774,-101.16306
2349695598.5328,9.4157257,-107.46456
2354030276.7589,8.8746853,-105.60661
2358364954.985,9.639739,-108.40222
2362699633.2111,9.2235117,-109.96684
2367034311.4371,9.0475912,-114.39815
2371368989.6632,9.135313,-112.03282
2375703667.8893,9.5118856,-115.77547
2380038346.1154,9.1680069,-121.07165
2384373024.3414,9.1613779,-121.63217
2388707702.5675,9.2525997,-124.25161
2393042380.7936,8.6576223,-124.08406
2397377059.0197,8.5397444,-123.64758
2401711737.2457,8.9713945,-124.90191
2406046415.4718,8.6186609,-125.72104
2410381093.6979,8.9118614,-129.3372
2414715771.924,9.01266,-128.53073
2419050450.1501,9.2760601,-131.33929
2423385128.3761,8.788434,-131.82407
2427719806.6022,9.0043564,-132.74956
2432054484.8283,9.3455286,-135.35886
2436389163.0544,9.4436884,-141.16133
2440723841.2804,9.3475637,-140.45445
2445058519.5065,9.3901043,-143.83632
2449393197.7326,9.0228777,-145.07516
2453727875.9587,9.4563847,-145.73546
2458062554.1847,9.1181717,-146.25795
2462397232.4108,9.2968607,-146.2397
2466731910.6369,8.8996115,-147.24738
2471066588.863,9.4278097,-147.30664
2475401267.089,9.2204723,-149.14003
2479735945.3151,9.1019735,-152.02911
2484070623.5412,8.7884321,-154.09395
2488405301.7673,9.0754757,-154.97217
2492739979.9933,9.6387281,-155.69237
2497074658.2194,9.0569334,-158.23801
2501409336.4455,9.0219336,-160.76851
2505744014.6716,9.6971731,-163.31055
2510078692.8976,9.5870914,-165.34714
2514413371.1237,9.3531475,-164.42889
2518748049.3498,9.4930716,-168.27602
2523082727.5759,9.2035456,-170.57578
2527417405.8019,9.1625481,-172.32698
2531752084.028,9.3369341,-168.34682
2536086762.2541,9.0283232,-173.40836
2540421440.4802,9.3554401,-176.02026
2544756118.7062,9.09482,-175.17378
2549090796.9323,9.3295078,-175.37057
2553425475.1584,9.9042807,-178.09283
2557760153.3845,9.4354782,177.89771
2562094831.6105,9.8665323,177.2899
2566429509.8366,9.6159945,178.1812
2570764188.0627,9.5624161,173.60748
2575098866.2888,9.2433453,171.48116
2579433544.5148,9.8754473,172.7813
2583768222.7409,8.8398829,172.3063
2588102900.967,9.1822224,169.25682
2592437579.1931,9.4347019,168.40349
2596772257.4191,9.2403955,166.2592
2601106935.6452,9.1294651,164.117
2605441613.8713,9.0400438,166.71976
2609776292.0974,9.3289223,162.0295
2614110970.3234,9.748208,161.16211
2618445648.5495,9.8095198,159.60309
2622780326.7756,9.8471985,159.89091
2627115005.0017,9.3660698,159.17189
2631449683.2277,9.5828533,153.19423
2635784361.4538,9.4616404,150.2556
2640119039.6799,9.7316942,151.22527
2644453717.906,9.8123283,146.61688
2648788396.132,9.4764624,146.87071
2653123074.3581,9.7944498,143.94919
2657457752.5842,9.2674818,144.15169
2661792430.8103,9.6153173,141.86519
2666127109.0363,9.3629541,141.86438
2670461787.2624,9.766881,139.96257
2674796465.4885,9.6079397,141.54381
2679131143.7146,9.8337708,139.24307
2683465821.9406,9.7314968,136.62421
2687800500.1667,9.6164351,134.79413
2692135178.3928,9.7491713,135.23817
2696469856.6189,10.038334,130.45078
2700804534.8449,9.8275547,128.9836
2705139213.071,9.5956621,124.42191
2709473891.2971,10.149251,130.33881
2713808569.5232,9.7802572,124.44083
2718143247.7492,10.511783,119.72639
2722477925.9753,9.1201353,120.79803
2726812604.2014,9.8177118,122.91033
2731147282.4275,9.8045177,119.51836
2735481960.6536,9.6970634,116.85409
2739816638.8796,10.144924,118.23557
2744151317.1057,9.627882,117.9007
2748485995.3318,8.7129011,115.04883
2752820673.5579,9.9148846,111.52156
2757155351.7839,10.268674,114.88062
2761490030.01,9.7414703,110.05772
2765824708.2361,10.222668,106.60793
2770159386.4622,10.398921,108.0896
2774494064.6882,10.218259,105.35921
2778828742.9143,10.025105,106.0096
2783163421.1404,10.476597,99.818146
2787498099.3665,9.8930845,99.179893
2791832777.5925,10.859652,98.617706
2796167455.8186,9.6059227,93.370796
2800502134.0447,9.4849167,93.210907
2804836812.2708,10.210316,93.70285
2809171490.4968,9.4583225,93.271545
2813506168.7229,10.149497,91.037834
2817840846.949,10.72298,90.761795
2822175525.1751,10.656297,91.589645
2826510203.4011,10.457754,90.177086
2830844881.6272,11.041592,87.65274
2835179559.8533,10.377592,87.190857
2839514238.0794,10.367128,82.78241
2843848916.3054,11.280182,83.261154
2848183594.5315,10.784526,79.575409
2852518272.7576,9.9512377,77.276161
2856852950.9837,10.589439,78.328049
2861187629.2097,9.5460405,75.073189
2865522307.4358,10.072675,76.086403
2869856985.6619,10.5869,71.973442
2874191663.888,10.199003,70.996124
2878526342.114,10.260383,73.545181
2882861020.3401,10.464427,66.884895
2887195698.5662,10.398104,67.987595
2891530376.7923,10.460191,66.385803
2895865055.0183,10.825559,65.746124
2900199733.2444,10.392447,64.688705
2904534411.4705,10.696882,64.462814
2908869089.6966,11.507174,60.48666
2913203767.9226,10.28362,59.693001
2917538446.1487,10.878765,56.086941
2921873124.3748,10.817904,60.278831
2926207802.6009,10.196185,54.409657
2930542480.8269,11.307972,56.996178
2934877159.053,11.037749,51.213551
2939211837.2791,10.272846,51.217186
2943546515.5052,10.957583,48.499744
2947881193.7312,11.477882,51.556797
2952215871.9573,10.695053,47.675751
2956550550.1834,10.754746,44.317139
2960885228.4095,11.053539,39.956387
2965219906.6355,10.861387,42.989101
2969554584.8616,11.233971,37.581345
2973889263.0877,10.678616,37.815113
2978223941.3138,10.874937,36.656803
2982558619.5398,11.600937,36.485168
2986893297.7659,10.939231,34.477039
2991227975.992,11.306639,28.642542
2995562654.2181,11.72865,30.319378
2999897332.4441,10.80827,31.489983
3004232010.6702,11.007493,25.105997
3008566688.8963,11.217407,26.322109
3012901367.1224,11.149055,25.518404
3017236045.3484,10.151208,19.987762
3021570723.5745,11.55457,17.633204
3025905401.8006,10.900781,22.463905
3030240080.0267,10.764748,16.56385
3034574758.2528,11.2188,16.479334
3038909436.4788,11.069855,13.355588
3043244114.7049,10.723302,13.197859
3047578792.931,11.904734,15.903653
3051913471.1571,10.990287,11.015784
3056248149.3831,10.79113,12.014321
3060582827.6092,11.245319,9.0202589
3064917505.8353,11.265615,9.4968786
3069252184.0614,10.444953,5.0086484
3073586862.2874,11.201521,1.5112886
3077921540.5135,11.17553,-0.98893726
3082256218.7396,11.150081,0.049089488
3086590896.9657,12.49579,3.1770444
3090925575.1917,11.041595,-1.7485365
3095260253.4178,11.096669,-1.1059175
3099594931.6439,11.410203,-3.7958107
3103929609.87,10.801546,-5.1989217
3108264288.096,11.745839,-7.586072
3112598966.3221,11.099264,-9.2059584
3116933644.5482,11.309846,-5.0634499
3121268322.7743,12.045694,-13.62911
3125603001.0003,11.68799,-14.987723
3129937679.2264,12.004435,-14.292117
3134272357.4525,12.026093,-12.712379
3138607035.6786,13.041352,-17.979874
3142941713.9046,12.362891,-20.246496
3147276392.1307,13.14991,-22.264652
3151611070.3568,11.584426,-22.161383
3155945748.5829,11.680582,-23.571527
3160280426.8089,12.219208,-26.642277
