Trace
Swept SA
A.08.04,N9030A
515000000,-85.0311985646311
520000000,-44.2109974693343
525000000,-87.3381760482711
530000000,-44.8539355388244
535000000,-90.5187151228714
540000000,-45.8208458415985
545000000,-79.6509427853013
550000000,-46.238966835645
555000000,-87.8920274971302
560000000,-47.5055952829807
565000000,-81.8710254991046
570000000,-46.8341961502016
575000000,-93.0526824194505
580000000,-47.5753449920075
585000000,-89.3099836062392
590000000,-47.2839080355345
595000000,-96.5663446201032
600000000,-48.0324062424527
605000000,-86.327492814929
610000000,-49.9414609117038
615000000,-86.8888639720771
620000000,-51.2715756595989
625000000,-83.3478195235368
630000000,-52.6230220320259
635000000,-84.4215753053815
640000000,-51.7309195912859
645000000,-86.8513858954033
650000000,-51.7653837061618
655000000,-86.5402715279005
660000000,-50.7112785887505
665000000,-90.34850636879
670000000,-50.1135690448134
675000000,-83.1963766189706
680000000,-50.0327386932314
685000000,-95.2758024681147
690000000,-50.5295651253832
695000000,-86.3294296674663
700000000,-50.0107092990146
705000000,-89.4886636635321
710000000,-49.268809655159
715000000,-89.0754574181604
720000000,-51.1336878646261
725000000,-87.6265360814508
730000000,-51.5921746874967
735000000,-92.3307511296998
740000000,-52.3990214166906
745000000,-92.5819858564035
750000000,-53.4109154325177
755000000,-93.3116642519181
760000000,-53.5155338738225
765000000,-93.7425988317599
770000000,-52.4306626782106
775000000,-89.1520804775787
780000000,-53.7945999380186
785000000,-90.1066581006314
790000000,-53.1573050777461
795000000,-89.5619083419326
800000000,-56.1254030560018
805000000,-94.5591236039246
810000000,-56.1521828514622
815000000,-90.2092471698127
820000000,-54.2386209520792
825000000,-89.5950530222852
830000000,-54.001449234813
835000000,-102.781496682644
840000000,-53.8987155768537
845000000,-90.0104054650112
850000000,-54.0189441093699
855000000,-90.3819822843682
860000000,-54.7962058829261
865000000,-88.8881912589832
870000000,-55.231368343642
875000000,-85.1553728878711
880000000,-56.9451644572589
885000000,-95.9246931239418
890000000,-58.4744729071289
895000000,-102.195050609676
900000000,-62.4437441762009
905000000,-90.3257051252205
910000000,-63.3791975269135
915000000,-98.4194400953179
920000000,-63.5396272822574
925000000,-100.819267450025
930000000,-62.1953996744203
935000000,-104.601956944531
940000000,-62.4048278513243
945000000,-94.8544652672849
950000000,-58.8910676623348
955000000,-87.5050714261836
960000000,-59.1265007003679
965000000,-97.1865532595906
970000000,-57.6365741802418
975000000,-102.86887103644
980000000,-56.1348875598134
985000000,-89.4538635689656
990000000,-55.6643168646413
995000000,-95.2978673782857
1000000000,-54.6498931511586
1005000000,-95.769485290511
1010000000,-54.9855478088063
1015000000,-94.2655938605489
1020000000,-55.2337450216176
1025000000,-88.3631074108724
1030000000,-56.4726366515676
1035000000,-95.984922640859
1040000000,-56.4148629339747
1045000000,-89.6223843287427
1050000000,-56.3379947429565
1055000000,-96.7611228049851
1060000000,-57.6104699865573
1065000000,-93.1815472014425
1070000000,-59.6097974397651
1075000000,-98.5937792187288
1080000000,-62.0759953250791
1085000000,-91.0285606613732
1090000000,-64.228842255724
1095000000,-92.5346634621353
1100000000,-66.2464608683024
1105000000,-98.7884561254462
1110000000,-66.8287484744478
1115000000,-95.207328395471
1120000000,-63.5484720029021
1125000000,-91.9069580597425
1130000000,-60.1180940516935
1135000000,-99.3132206084541
1140000000,-59.9869953688401
1145000000,-93.079944072854
1150000000,-60.6628569753177
1155000000,-94.5664406512188
1160000000,-59.6020636057577
1165000000,-94.0881486970916
1170000000,-61.6071169500963
1175000000,-93.0038270132084
1180000000,-61.5215739849753
1185000000,-92.2450822038003
1190000000,-61.8564147042781
1195000000,-94.0240731676709
1200000000,-63.5834314123893
1205000000,-95.627567503047
1210000000,-66.379733021804
1215000000,-95.5368548077016
1220000000,-68.6624169773883
1225000000,-94.9650453536668
1230000000,-66.4590484684218
1235000000,-89.7851839742169
1240000000,-64.7228794124103
1245000000,-92.7053583042301
1250000000,-64.6261451828784
1255000000,-92.2301317714144
1260000000,-63.277814074721
1265000000,-92.8036596401247
1270000000,-61.8743627282213
1275000000,-94.2826292906709
1280000000,-62.7675879793168
1285000000,-95.0803127953064
1290000000,-62.0957568889142
1295000000,-96.7977039206584
1300000000,-61.2808769233988
1305000000,-91.352723934391
1310000000,-61.8035814083227
1315000000,-101.489132922721
1320000000,-62.0629952161062
1325000000,-92.2041105399617
1330000000,-59.6507318367907
1335000000,-91.7960190267716
1340000000,-62.710070783586
1345000000,-94.2152282722852
1350000000,-64.9991962666118
1355000000,-91.8095793215708
1360000000,-65.8720990924965
1365000000,-92.0163699146877
1370000000,-67.4227499102142
1375000000,-92.7761501454747
1380000000,-68.6683231749246
1385000000,-95.2189349869794
1390000000,-65.6931560556383
1395000000,-92.5458267738089
1400000000,-63.6419009438597
1405000000,-90.5258935409265
1410000000,-62.2073349064504
1415000000,-89.6976501252824
1420000000,-60.5500831061383
1425000000,-90.4215926213571
1430000000,-59.4197807843785
1435000000,-90.4907925450528
1440000000,-60.2467719098843
1445000000,-89.3282963342616
1450000000,-59.5862373362635
1455000000,-87.9674855982673
1460000000,-59.1873948168628
1465000000,-92.2478018364349
1470000000,-59.693812069862
1475000000,-94.2902363979058
1480000000,-60.7336457268072
1485000000,-89.7981771395634
1490000000,-62.440162712134
1495000000,-99.8859100989625
1500000000,-62.769408675415
1505000000,-91.8214461674803
1510000000,-64.3759742952145
1515000000,-95.1631968902949
1520000000,-64.3164388440545
1525000000,-89.6724806211418
1530000000,-63.8054014434322
1535000000,-93.5157515472086
1540000000,-64.9992866757287
1545000000,-94.6427575569831
1550000000,-66.0711724471609
1555000000,-93.7398689227391
1560000000,-64.3921908570575
1565000000,-106.312861582255
1570000000,-65.6748031450691
1575000000,-92.320917247544
1580000000,-63.8916241349188
1585000000,-93.7545553470495
1590000000,-63.5745493698277
1595000000,-89.6505290477764
1600000000,-62.2201909621021
1605000000,-89.7770677101802
1610000000,-61.3273726834291
1615000000,-88.6270216525766
1620000000,-63.7380940227372
1625000000,-95.3213278313876
1630000000,-63.6701274461507
1635000000,-91.3422673109259
1640000000,-64.8437068059257
1645000000,-96.0722044485452
1650000000,-65.0140978278712
1655000000,-98.2548516382397
1660000000,-64.7486714986571
1665000000,-93.7855884647873
1670000000,-67.1378358480073
1675000000,-95.0583842535785
1680000000,-67.6970082843937
1685000000,-94.0264191431509
1690000000,-68.4953830015704
1695000000,-96.3742160228375
1700000000,-66.4385334516486
1705000000,-91.9001602874787
1710000000,-64.2192629327449
1715000000,-96.0211870509603
1720000000,-64.2209705507796
1725000000,-100.397497475002
1730000000,-63.8160521008239
1735000000,-91.9935374137184
1740000000,-62.966504438478
1745000000,-90.680244812786
1750000000,-63.7183834341032
1755000000,-92.7553787584913
1760000000,-64.9604897059118
1765000000,-90.6947014488036
1770000000,-65.3434762960655
1775000000,-94.5105764829147
1780000000,-65.1506120723198
1785000000,-95.0623089366683
1790000000,-66.2680122204383
1795000000,-89.6152561664763
1800000000,-65.7332750913107
1805000000,-96.8399787229201
1810000000,-65.5491026780401
1815000000,-91.1819991740049
1820000000,-67.7667027834707
1825000000,-97.176588367219
1830000000,-66.9659605430455
1835000000,-99.4588220432723
1840000000,-66.4837895954874
1845000000,-93.2172041295994
1850000000,-64.7326337654326
1855000000,-89.9917656580164
1860000000,-65.3149013585347
1865000000,-89.820354392249
1870000000,-63.7158184331044
1875000000,-97.5819016491502
1880000000,-64.3504861993879
1885000000,-89.7243780281657
1890000000,-64.6889745516456
1895000000,-92.3374948826816
1900000000,-64.1683221222748
1905000000,-91.9939621525174
1910000000,-64.5309699342845
1915000000,-92.9032656847308
1920000000,-63.3625643502162
1925000000,-96.9801019813144
1930000000,-63.4420809622172
1935000000,-93.059359162688
1940000000,-64.4196899909419
1945000000,-92.7160542005856
1950000000,-64.2757006975368
1955000000,-88.339946493304
1960000000,-65.4057373323939
1965000000,-101.267184006433
1970000000,-65.4507839015633
1975000000,-92.3691438738432
1980000000,-66.2581598782886
1985000000,-87.8570493822823
1990000000,-67.1897401254118
1995000000,-94.3337256066395
2000000000,-67.7346141984367
2005000000,-94.7900819377362
2010000000,-66.9303586213838
2015000000,-96.430960133547
2020000000,-66.1246331713084
2025000000,-92.2602809005054
2030000000,-64.7549301368851
2035000000,-97.2262781817609
2040000000,-65.6706923047495
2045000000,-91.6474063998816
2050000000,-65.5303507059757
2055000000,-98.8556949769013
2060000000,-64.6756508182859
2065000000,-88.120508632229
2070000000,-66.5183841520392
2075000000,-90.9058163343965
2080000000,-65.6188437285103
2085000000,-92.1181913298262
2090000000,-65.6418453286274
2095000000,-92.9767490841546
2100000000,-65.7778938333586
2105000000,-92.3460700777807
2110000000,-64.9073609610596
2115000000,-93.8726502188919
2120000000,-64.7494739056534
2125000000,-97.9121669191972
2130000000,-64.2220951251726
2135000000,-91.8749691140215
2140000000,-64.4333275384783
2145000000,-94.9847911276202
2150000000,-63.7861541066668
2155000000,-112.142189616878
2160000000,-66.5343873567402
2165000000,-93.9778044398884
2170000000,-65.3676138114888
2175000000,-94.1236275036946
2180000000,-65.176762942185
2185000000,-90.2159207718011
2190000000,-64.935666985031
2195000000,-97.07887975382
2200000000,-65.9763961121599
2205000000,-94.3648182450724
2210000000,-65.1298082784489
2215000000,-104.677491054982
2220000000,-63.1167338103946
2225000000,-96.0101897090321
2230000000,-64.6143393512732
2235000000,-100.973755836874
2240000000,-64.7964085370492
2245000000,-90.8615693098444
2250000000,-63.8268322097271
2255000000,-91.0149759716824
2260000000,-64.8709819231764
2265000000,-88.2396606362671
2270000000,-64.2601634437347
2275000000,-88.0987980857763
2280000000,-63.9798856239849
2285000000,-90.6671341835558
2290000000,-65.8207414772134
2295000000,-96.4020673076714
2300000000,-66.3746489299751
2305000000,-113.933743106368
2310000000,-65.8967055209692
2315000000,-89.1662541257876
2320000000,-65.6616095344462
2325000000,-93.2953172675433
2330000000,-64.8048633840144
2335000000,-94.4206948879001
2340000000,-64.0305610190997
2345000000,-95.2640728849522
2350000000,-64.9295562286891
2355000000,-97.4570044563427
2360000000,-65.6488454273922
2365000000,-90.2330998416669
2370000000,-66.7179644054411
2375000000,-93.0197654464613
2380000000,-66.4943300602355
2385000000,-97.0382035400357
2390000000,-68.3574092277418
2395000000,-102.104326988898
2400000000,-67.4213061893845
2405000000,-99.3205935613069
2410000000,-66.9349842959002
2415000000,-98.5253212083186
2420000000,-63.4831318620918
2425000000,-98.3569227022418
2430000000,-66.1023475431121
2435000000,-89.8030104103
2440000000,-67.1736275940691
2445000000,-95.6061637051088
2450000000,-66.4292315103256
2455000000,-101.013921156875
2460000000,-63.6990241211785
2465000000,-95.0538345398568
2470000000,-63.2221071080113
2475000000,-93.0885651696948
2480000000,-63.9072841730776
2485000000,-94.2022102208084
2490000000,-62.5324341971648
2495000000,-90.9682861304034
2500000000,-64.9257449421356
2505000000,-91.8045120545514
2510000000,-65.2173829114617
2515000000,-89.9134556224402
2520000000,-65.1829179219799
2525000000,-91.6745153082384
2530000000,-64.1923753097313
2535000000,-93.1070583735167
2540000000,-65.8042428837498
2545000000,-91.529301488795
2550000000,-66.1132362541184
2555000000,-93.4058290933875
2560000000,-64.7484402691922
2565000000,-88.1010384717548
2570000000,-67.3552411909555
2575000000,-91.9105886550911
2580000000,-65.4899729194747
2585000000,-93.1518651722859
2590000000,-66.031589877978
2595000000,-90.7203864812331
2600000000,-64.7445627430296
2605000000,-93.3194015509076
2610000000,-63.7791357332363
2615000000,-95.3069494432384
2620000000,-65.7071537681574
2625000000,-89.5276882848856
2630000000,-65.2350640527223
2635000000,-93.2494656893331
2640000000,-66.7139397163736
2645000000,-95.3148206889462
2650000000,-64.8792505476218
2655000000,-103.853911626415
2660000000,-66.1835138220055
2665000000,-94.469258281463
2670000000,-65.1706648666996
2675000000,-89.0575994926239
2680000000,-66.0011994002133
2685000000,-89.5610872786401
2690000000,-67.0463353950064
2695000000,-95.6640563437212
2700000000,-65.7712768238448
2705000000,-91.6029559186988
2710000000,-67.1569767168485
2715000000,-95.6639080856648
2720000000,-67.0839110081432
2725000000,-92.6503613955264
2730000000,-65.1874678150751
2735000000,-93.8024348510423
2740000000,-65.5142075684791
2745000000,-87.9571777831328
2750000000,-65.5563311117121
2755000000,-91.0550886416385
2760000000,-65.7851669122753
2765000000,-100.898363882119
2770000000,-67.2300819929403
2775000000,-90.4223681046409
2780000000,-66.0965991462243
2785000000,-92.3182935572169
2790000000,-66.2529298767178
2795000000,-93.5709812754122
2800000000,-64.963022238645
2805000000,-96.9028076796
2810000000,-64.800225531932
2815000000,-90.7760011842517
2820000000,-64.8744073703574
2825000000,-93.0945092636672
2830000000,-65.152232841767
2835000000,-91.6937397434264
2840000000,-64.7962312449527
2845000000,-92.7496865143831
2850000000,-65.9569861257446
2855000000,-101.575829207309
2860000000,-63.8972492143246
2865000000,-95.0544723427783
2870000000,-63.3981612398979
2875000000,-90.6771439090999
2880000000,-66.9625567465759
2885000000,-103.411284345973
2890000000,-66.4834006042365
2895000000,-90.4883680721071
2900000000,-65.6031540033932
2905000000,-88.7306072768546
2910000000,-65.1090570075352
2915000000,-95.1577564568746
2920000000,-65.9191275452521
2925000000,-99.815219630883
2930000000,-65.1071932026833
2935000000,-91.0961033639856
2940000000,-65.7026622791209
2945000000,-90.766287372784
2950000000,-64.9539324765179
2955000000,-92.2392706436307
2960000000,-65.5652645751966
2965000000,-98.4480976198376
2970000000,-66.6704814699108
2975000000,-94.4998910633311
2980000000,-66.4822101048593
2985000000,-101.403757031654
2990000000,-65.2716420526863
2995000000,-90.6511196535659
3000000000,-66.2299448257471
3005000000,-91.0201734316443
3010000000,-65.3341997235971
3015000000,-93.4683616694685
3020000000,-64.1378378022294
3025000000,-97.9501192338673
3030000000,-64.9765150804589
3035000000,-95.0303311936641
3040000000,-64.1941918246877
3045000000,-102.699322760707
3050000000,-64.2389624946275
3055000000,-95.1117777615188
3060000000,-64.2631549422529
3065000000,-90.9023270068681
3070000000,-63.9927015663404
3075000000,-94.9953382742625
3080000000,-64.1890794511908
3085000000,-90.5388331065127
3090000000,-65.7281863420592
3095000000,-91.1107635486019
3100000000,-64.83544591023
3105000000,-93.2246083189834
3110000000,-64.5849022657862
3115000000,-88.3593983205235
3120000000,-64.5445504635543
3125000000,-89.4706920313897
3130000000,-65.6007239360782
3135000000,-102.925979384883
3140000000,-65.2502289261071
3145000000,-94.7564948319309
3150000000,-65.9359943969709
3155000000,-90.6257081323338
3160000000,-64.5118132548817
3165000000,-89.1636578906743
3170000000,-66.1688335668843
3175000000,-92.086973811527
3180000000,-65.6636706628469
3185000000,-103.487782389423
3190000000,-65.5759516971883
3195000000,-91.4957745525558
3200000000,-65.1871289786376
3205000000,-100.328729918233
3210000000,-66.0283847211942
3215000000,-101.70207969492
3220000000,-66.6771085873024
3225000000,-101.744523918251
3230000000,-65.950095772869
3235000000,-91.2906263776824
3240000000,-66.9482992855304
3245000000,-94.5029563043047
3250000000,-66.0370777545365
3255000000,-99.3705405611159
3260000000,-66.8566317074903
3265000000,-90.9570744865525
3270000000,-66.2466117674954
3275000000,-88.4030503696053
3280000000,-64.9405098466176
3285000000,-89.9970328928268
3290000000,-64.6008425114761
3295000000,-95.1274411426743
3300000000,-63.322604383394
3305000000,-90.8705053345751
3310000000,-64.4360287026259
3315000000,-91.6477763310889
3320000000,-64.9181237812805
3325000000,-93.4204199234642
3330000000,-64.3110429502914
3335000000,-98.1306047512276
3340000000,-65.0555103634552
3345000000,-85.5481384006169
3350000000,-64.5774068930137
3355000000,-91.3393319168069
3360000000,-64.2186516832271
3365000000,-101.096977784108
3370000000,-65.6031658780792
3375000000,-93.7945424162157
3380000000,-64.8306414124699
3385000000,-92.6472003298789
3390000000,-65.0733322389737
3395000000,-132.754281431225
3400000000,-64.5153373000018
3405000000,-95.291449580815
3410000000,-62.6859021966013
3415000000,-94.8826467536229
3420000000,-66.4015630704346
3425000000,-93.001031157925
3430000000,-65.6840869085257
3435000000,-92.3327957422685
3440000000,-66.5320255155377
3445000000,-97.9315516527671
3450000000,-66.3615456559371
3455000000,-96.6989166826057
3460000000,-67.5799239507293
3465000000,-93.6296753708793
3470000000,-67.285067968898
3475000000,-97.4982347251686
3480000000,-67.906677816571
3485000000,-95.225664591616
3490000000,-67.0958964038559
3495000000,-106.91541829842
3500000000,-66.3173207431096
3505000000,-96.1668468211099
3510000000,-66.2248780914443
3515000000,-92.9171169171985
3520000000,-64.4898523371789
3525000000,-93.5206591416685
3530000000,-67.1886985551669
3535000000,-96.7624620034595
3540000000,-67.7525414109105
3545000000,-96.5034860454978
3550000000,-66.3977751147043
3555000000,-90.3025483942378
3560000000,-67.3022036540204
3565000000,-112.052716138095
3570000000,-66.7815902980608
3575000000,-91.0986629603946
3580000000,-66.1359260613804
3585000000,-95.4428358333652
3590000000,-66.8624712982822
3595000000,-96.0091649108188
3600000000,-64.2109687448809
3605000000,-88.9761699253017
3610000000,-65.4361990320775
3615000000,-87.686267514259
3620000000,-65.0998842989948
3625000000,-86.4994512808741
3630000000,-64.3165482102753
3635000000,-88.9836429210853
3640000000,-64.0900558709392
3645000000,-92.4512001714459
3650000000,-64.2413414564986
3655000000,-91.5948878001083
3660000000,-65.5405978725999
3665000000,-92.5711769276726
3670000000,-66.0355782016056
3675000000,-96.3399692541031
3680000000,-64.2916117572963
3685000000,-90.9595369522254
3690000000,-64.6706256416281
3695000000,-90.9103152824137
3700000000,-65.4839681836973
3705000000,-89.4747521001176
3710000000,-63.7750086192235
3715000000,-89.6975580964944
3720000000,-63.2481492563077
3725000000,-93.9165361959307
3730000000,-62.9208100972724
3735000000,-90.4451386418514
3740000000,-64.9021146240783
3745000000,-95.0241250074784
3750000000,-63.4327816063448
3755000000,-88.2051891244983
3760000000,-63.5362127226445
3765000000,-87.4379274884567
3770000000,-63.3455553383411
3775000000,-88.8753614899956
3780000000,-64.0135108126218
3785000000,-91.0771294632143
3790000000,-62.1170415382418
3795000000,-88.3717675045257
3800000000,-62.0792678543423
3805000000,-93.7614999560632
3810000000,-63.8340043213339
3815000000,-87.2970401771613
3820000000,-63.0328977528787
3825000000,-93.7816929402417
3830000000,-63.7762264902268
3835000000,-98.0291989631367
3840000000,-64.804242867129
3845000000,-96.0423052538763
3850000000,-64.2478028184312
3855000000,-90.8601748034939
3860000000,-65.0120436804145
3865000000,-90.7110411556637
3870000000,-65.8009921682064
3875000000,-91.756634059521
3880000000,-66.4864661815608
3885000000,-93.3872364263178
3890000000,-65.0165485764142
3895000000,-92.9054278301409
3900000000,-65.8497185677666
3905000000,-95.0769172084441
3910000000,-65.7083627452275
3915000000,-92.7365727195504
3920000000,-65.5219999212445
3925000000,-89.2047202716934
3930000000,-64.2030413087024
3935000000,-94.4215520535239
3940000000,-64.8299401923029
3945000000,-92.8100604892362
3950000000,-65.6464244755249
3955000000,-89.0861070060764
3960000000,-65.0577101492743
3965000000,-96.4131603044239
3970000000,-64.3507053676312
3975000000,-98.6052465217197
3980000000,-64.0418026372097
3985000000,-89.8372245470356
3990000000,-64.0299843621109
3995000000,-93.687837848024
4000000000,-65.071840421962
4005000000,-96.8330822030166
4010000000,-64.1190787903335
4015000000,-95.8598626303582
4020000000,-65.068693693623
4025000000,-87.6794815359161
4030000000,-64.7984342695543
4035000000,-86.1723239634465
4040000000,-63.4605077827972
4045000000,-89.9411277329775
4050000000,-63.4761864776035
4055000000,-94.6324725122321
4060000000,-63.0795657896096
4065000000,-89.73851652239
4070000000,-65.0339655686664
4075000000,-91.5772724795547
4080000000,-64.451840657838
4085000000,-97.5662149156379
4090000000,-63.8128580716449
4095000000,-93.6922416155195
4100000000,-64.0505869878609
4105000000,-87.8718888696627
4110000000,-64.4918933176877
4115000000,-88.6639839794374
4120000000,-64.8317156647263
4125000000,-90.8325524305083
4130000000,-63.6820457675916
4135000000,-92.4874002602291
4140000000,-66.6366573060171
4145000000,-92.8874294628047
4150000000,-66.7423729244385
4155000000,-100.579159750147
4160000000,-66.0874292537364
4165000000,-93.543686459481
4170000000,-66.9036610536236
4175000000,-93.9338442533936
4180000000,-66.5265451298116
4185000000,-93.0444775812539
4190000000,-66.2528390969536
4195000000,-92.8203149169009
4200000000,-65.9329185290113
4205000000,-89.2240473818931
4210000000,-66.5375480921968
4215000000,-96.3040870955078
4220000000,-66.2540279997486
4225000000,-94.8070713729956
4230000000,-66.9772554776636
4235000000,-88.3492341996778
4240000000,-66.3430924800001
4245000000,-98.0593771189115
4250000000,-65.8185468045025
4255000000,-89.4828670263728
4260000000,-65.7643604961923
4265000000,-91.8589043807649
4270000000,-66.2497183838258
4275000000,-93.3303356865327
4280000000,-65.1745946781801
4285000000,-92.4191028228914
4290000000,-63.9732992777995
4295000000,-100.614445488986
4300000000,-65.9608706187271
4305000000,-91.9821842426332
4310000000,-66.0530406971912
4315000000,-93.4326220723828
4320000000,-65.1820242450269
4325000000,-89.6925185589063
4330000000,-65.9257683865674
4335000000,-89.9151927139844
4340000000,-65.3784270770108
4345000000,-90.4596281218745
4350000000,-66.0546141195459
4355000000,-91.8369445961236
4360000000,-65.2146271394126
4365000000,-99.4807406113482
4370000000,-66.5432004695718
4375000000,-96.9586574688843
4380000000,-66.7499365933067
4385000000,-98.2442803911055
4390000000,-65.4453758377998
4395000000,-99.7782445541782
4400000000,-64.6963597848389
4405000000,-96.2019277425137
4410000000,-65.8126125973809
4415000000,-99.24606782044
4420000000,-67.3511653566494
4425000000,-92.336674179541
4430000000,-65.8575188670079
4435000000,-94.9175157081612
4440000000,-67.3497669387427
4445000000,-90.0522579902466
4450000000,-66.425086310293
4455000000,-97.7189851780811
4460000000,-65.6121160315503
4465000000,-103.35607983434
4470000000,-66.7578029560539
4475000000,-93.8638228712251
4480000000,-66.4956136374827
4485000000,-90.7625738097706
4490000000,-65.5781250724654
4495000000,-92.702311707049
4500000000,-66.7993591833318
4505000000,-89.4382282898758
4510000000,-65.6254352040981
4515000000,-97.0695786516943
4520000000,-64.8623407346422
4525000000,-92.407689788973
4530000000,-65.774038392276
4535000000,-104.930301441581
4540000000,-65.7116342790107
4545000000,-87.3985163456218
4550000000,-65.4819128193998
4555000000,-93.7835211055557
4560000000,-67.3027060512042
4565000000,-97.4458094411154
4570000000,-65.775940756249
4575000000,-91.7418976263028
4580000000,-65.378153393807
4585000000,-94.2091099411301
4590000000,-65.6965339826927
4595000000,-94.330249502498
4600000000,-65.8039309074221
4605000000,-91.6262493751356
4610000000,-65.5870379913599
4615000000,-92.4006661663876
4620000000,-66.2944559137542
4625000000,-90.3054463555801
4630000000,-65.1667414683871
4635000000,-90.4130549713442
4640000000,-65.5793087191832
4645000000,-96.1043645815728
4650000000,-64.7289568947493
4655000000,-91.4779622875009
4660000000,-65.9734687223073
4665000000,-94.805036241916
4670000000,-66.1543999492423
4675000000,-99.232551107838
4680000000,-66.9029093414804
4685000000,-88.1817631891908
4690000000,-65.4480725856196
4695000000,-103.625584027503
4700000000,-63.9843598619888
4705000000,-91.4035453948243
4710000000,-62.3570625879513
4715000000,-90.8159071843534
4720000000,-65.0026301724302
4725000000,-91.6944609326706
4730000000,-66.9341214781771
4735000000,-92.2712133788143
4740000000,-65.2272963312987
4745000000,-98.8162247145675
4750000000,-66.4689979771157
4755000000,-92.50929137464
4760000000,-65.2067889461863
4765000000,-89.2306618709413
4770000000,-64.7916034362287
4775000000,-95.6462283604517
4780000000,-65.8335171714422
4785000000,-89.2838597608385
4790000000,-63.5035669528352
4795000000,-101.222846555882
4800000000,-65.6611092111255
4805000000,-87.4494532640747
4810000000,-65.3805869012824
4815000000,-92.1782054763645
4820000000,-65.2484788240683
4825000000,-88.1033702105134
4830000000,-67.2986232108013
4835000000,-89.394344247477
4840000000,-66.7537449090429
4845000000,-134.176606319736
4850000000,-66.2401299918651
4855000000,-94.9754582220641
4860000000,-64.3698698673759
4865000000,-92.0075227864018
4870000000,-66.3832434063492
4875000000,-91.8673391420966
4880000000,-65.9116444005776
4885000000,-90.928206331959
4890000000,-64.039761438326
4895000000,-94.4888583413604
4900000000,-65.6511564668084
4905000000,-87.380526175057
4910000000,-65.6750706745186
4915000000,-99.5243943765288
4920000000,-65.6649055539518
4925000000,-87.6946286422542
